Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

deco_wilderness_pineforestlogging_01,POI,POIName,,x,x,White Pines Camp,,,,,,,,,,,,,
deco_wilderness_pineforestlogging_02,POI,POIName,,x,x,Oakraven Logging Camp,,,,,,,,,,,,,
deco_wilderness_pineforestlogging_03,POI,POIName,,x,x,Frontier Camp,,,,,,,,,,,,,
deco_wilderness_pineforestlogging_04,POI,POIName,,x,x,Pine Needles Camp,,,,,,,,,,,,,
deco_wildwest_desertoasis_01,POI,POIName,,x,x,Desert Spring,,,,,,,,,,,,,
deco_wildwest_desertoasis_02,POI,POIName,,x,x,Desert Gulp,,,,,,,,,,,,,
deco_wildwest_desertsmallcamp_01,POI,POIName,,x,x,Desert Settler Camp,,,,,,,,,,,,,
deco_wildwest_desertsmallcamp_02,POI,POIName,,x,x,Desert Last Stand,,,,,,,,,,,,,
deco_wildwest_forestsmallcamp_01,POI,POIName,,x,x,Settler Canopy,,,,,,,,,,,,,
deco_wildwest_forestsmallcamp_02,POI,POIName,,x,x,Homestead Foundations,,,,,,,,,,,,,
deco_wildwest_prospector_dig_01_TMB,POI,POIName,,x,x,Prospector's Digging Site,,,,,,,,,,,,,
deco_wildwest_prospector_dig_02_TMB,POI,POIName,,x,x,Prospector's Haul,,,,,,,,,,,,,
deco_wildwest_remnant_oldwest_03,POI,POIName,,x,x,Settler Sam,,,,,,,,,,,,,
deco_wildwest_smokeriser3000,POI,POIName,,x,x,X,,,,,,,,,,,,,
deco_wildwest_totem_01,POI,POIName,,x,x,Totem,,,,,,,,,,,,,
part_horde_large,POI,POIName,,x,x,X,,,,,,,,,,,,,
part_horde_small,POI,POIName,,x,x,X,,,,,,,,,,,,,
part_loot_t1,POI,POIName,,x,x,X,,,,,,,,,,,,,
rwg_tile_gateway_cap,POI,POIName,,x,x,X,,,,,,,,,,,,,
rwg_tile_oldwest_corner,POI,POIName,,x,x,X,,,,,,,,,,,,,
rwg_tile_oldwest_intersection,POI,POIName,,x,x,X,,,,,,,,,,,,,
rwg_tile_oldwest_straight,POI,POIName,,x,x,X,,,,,,,,,,,,,
rwg_tile_oldwest_straight_02,POI,POIName,,x,x,X,,,,,,,,,,,,,
rwg_tile_oldwest_t,POI,POIName,,x,x,X,,,,,,,,,,,,,
trader_JenWW_arramus,POI,POIName,,x,x,Trader Jen,,,,,,,,,,,,,
trader_bobWW,POI,POIName,,x,x,Trader Bob,,,,,,,,,,,,,
trader_hugh,POI,POIName,,x,x,Trader Hugh,,,,,,,,,,,,,
trader_joel,POI,POIName,,x,x,Trader Joel,,,,,,,,,,,,,
trader_rekt_ww_Medusa,POI,POIName,,x,x,Trader Rekt,,,,,,,,,,,,,
trader_travelling_tmb,POI,POIName,,x,x,Travelling Trader Rekt,,,,,,,,,,,,,
wildwest_25x50_corn_01_arramus,POI,POIName,,x,x,Mr T's Super Special Catacorn,,,,,,,,,,,,,
wildwest_A19_skyscraper_02,POI,POIName,,x,x,Wild West Crack-a-Book HQ,,,,,,,,,,,,,
wildwest_AssayLandOffice_Chaz916Gaming,POI,POIName,,x,x,Assay Land Office,,,,,,,,,,,,,
wildwest_Band_Stand_Zeebark,POI,POIName,,x,x,Band Stand,,,,,,,,,,,,,
wildwest_BankFireDeptLeesGoods_Chaz916Gaming,POI,POIName,,x,x,Fire Dept and Lee's Goods,,,,,,,,,,,,,
wildwest_BestEatsBarberShop_Chaz916Gaming,POI,POIName,,x,x,Best Eats and Barber Shop,,,,,,,,,,,,,
wildwest_Blacksmith(by_Zeebark),POI,POIName,,x,x,Blacksmiths,,,,,,,,,,,,,
wildwest_BlainWoodMetal_Chaz916Gaming,POI,POIName,,x,x,Blain Wood & Metal,,,,,,,,,,,,,
wildwest_Boat_Scrap_tug_TMB,POI,POIName,,x,x,Scrap Tug,,,,,,,,,,,,,
wildwest_Boat_Scrap_tug_sub_TMB,POI,POIName,,x,x,Submerged Scrap Tug,,,,,,,,,,,,,
wildwest_Clothier_Chaz916Gaming,POI,POIName,,x,x,Clothier,,,,,,,,,,,,,
wildwest_Courthouse_Medusa,POI,POIName,,x,x,Courthouse,,,,,,,,,,,,,
wildwest_CowboysRest_Medusa,POI,POIName,,x,x,Cowboys' Rest,,,,,,,,,,,,,
wildwest_Cran5000SaloonTrio,POI,POIName,,x,x,Five-K Saloon Strip,,,,,,,,,,,,,
wildwest_crooked_house_Medusa,POI,POIName,,x,x,Crooked House,,,,,,,,,,,,,
wildwest_DeasCoffeeBreadTea01,POI,POIName,,x,x,Dea's Coffee Bread 'n' Teas,,,,,,,,,,,,,
wildwest_FortWest_Chaz916Gaming,POI,POIName,,x,x,Crooked Arrow Fort,,,,,,,,,,,,,
wildwest_GunshopBakery_Chaz916Gaming,POI,POIName,,x,x,Gunshop and Bakery,,,,,,,,,,,,,
wildwest_HotelBathhouseJoesMining_Chaz916Gaming,POI,POIName,,x,x,Bathhouse and Joe's Mining,,,,,,,,,,,,,
wildwest_HotelCardSaloon_Chaz916Gaming,POI,POIName,,x,x,Hotel and Card Saloon,,,,,,,,,,,,,
wildwest_Hotel_Skank(By_Zeebark),POI,POIName,,x,x,Hotel Skank,,,,,,,,,,,,,
wildwest_Kerosene_And_Tar_Medusa,POI,POIName,,x,x,Kerosene and Tar Refinery,,,,,,,,,,,,,
wildwest_LastChanceTradingPost_Chaz916Gaming,POI,POIName,,x,x,Last Chance Trading Post,,,,,,,,,,,,,
wildwest_LiveryStable_Chaz916Gaming,POI,POIName,,x,x,Livery Stable,,,,,,,,,,,,,
wildwest_MambaHomestead_Medusa,POI,POIName,,x,x,Mamba Homestead,,,,,,,,,,,,,
wildwest_medusa_spawn_TMB,POI,POIName,,x,x,Chuckwagon Pit,,,,,,,,,,,,,
wildwest_MeatsFeednSeed_Chaz916Gaming,POI,POIName,,x,x,Meats Feeds n Seeds,,,,,,,,,,,,,
wildwest_ProudMary_Medusa,POI,POIName,,x,x,Proud Mary,,,,,,,,,,,,,
wildwest_rockformation_01_TMB,POI,POIName,,x,x,Rock Formation,,,,,,,,,,,,,
wildwest_rockformation_02_TMB,POI,POIName,,x,x,Rock Formation,,,,,,,,,,,,,
wildwest_Schoolhouse_Chaz916Gaming,POI,POIName,,x,x,School House,,,,,,,,,,,,,
wildwest_Shooting_Range_Zeebark,POI,POIName,,x,x,Shooting Range,,,,,,,,,,,,,
wildwest_SnakeBite_Saloon_Medusa,POI,POIName,,x,x,Snakebite Saloon,,,,,,,,,,,,,
wildwest_StageUndiesGrave_Chaz916Gaming,POI,POIName,,x,x,Undertaker Staging Post,,,,,,,,,,,,,
wildwest_Stagecoach_Medusa,POI,POIName,,x,x,Stage Coach Company,,,,,,,,,,,,,
wildwest_TMB_Bandit_Loot,POI,POIName,,x,x,Bandit Cave,,,,,,,,,,,,,
wildwest_TheaterPOJail_Chaz619Gaming,POI,POIName,,x,x,Jailhouse Rock,,,,,,,,,,,,,
wildwest_TownHallWestsideHotel_Chaz916Gaming,POI,POIName,,x,x,Town Hall and Westside Hotel,,,,,,,,,,,,,
wildwest_unknownactivity_TMB,POI,POIName,,x,x,Shakey Foundations
wildwest_WW_Ranch_Stallionsden,POI,POIName,,x,x,Stallion's Ranch,,,,,,,,,,,,,
wildwest_Wilderness_shack_02_TMB,POI,POIName,,x,x,Worker Shack,,,,,,,,,,,,,
wildwest_Wilderness_shack_03_TMB,POI,POIName,,x,x,Destroyed Shack,,,,,,,,,,,,,
wildwest_adobe_01_arramus,POI,POIName,,x,x,Adobe Community,,,,,,,,,,,,,
wildwest_apothecary_Medusa,POI,POIName,,x,x,Apothecary Lotions n Potions,,,,,,,,,,,,,
wildwest_apper_01_arramus,POI,POIName,,x,x,Stinky Strip,,,,,,,,,,,,,
wildwest_bandit_settlement_arramus,POI,POIName,,x,x,Bandit Settlement,,,,,,,,,,,,,
wildwest_bank_01_arramus,POI,POIName,,x,x,Liberty Bank,,,,,,,,,,,,,
wildwest_Barbershop_Medusa,POI,POIName,,x,x,Butts 'n' Cuts,,,,,,,,,,,,,
wildwest_blacksmith_01_arramus,POI,POIName,,x,x,Cabin Blacksmith,,,,,,,,,,,,,
wildwest_bony_xpress_01_arramus,POI,POIName,,x,x,Bony Xpress,,,,,,,,,,,,,
wildwest_bosscave90_01,POI,POIName,,x,x,Crater Boss Cave,,,,,,,,,,,,,
wildwest_bosscave90_02,POI,POIName,,x,x,Boss Cave,,,,,,,,,,,,,
wildwest_bricabrac_01_arramus,POI,POIName,,x,x,Bricabrac Store,,,,,,,,,,,,,
wildwest_bridge_build_challenge_TMB,POI,POIName,,x,x,Bridge Build Challenge,,,,,,,,,,,,,
wildwest_bridge_build_challenge01_TMB,POI,POIName,,x,x,Bridge Build Challenge,,,,,,,,,,,,,
wildwest_bridge_end_TMB,POI,POIName,,x,x,Bridge Build Challenge
wildwest_bridgeandladdersstart_TMB,POI,POIName,,x,x,Bridge and Ladders,,,,,,,,,,,,,
wildwest_bubbles_01_arramus,POI,POIName,,x,x,Bubble Trouble,,,,,,,,,,,,,
wildwest_bucksden_01_arramus,POI,POIName,,x,x,Buck's Den,,,,,,,,,,,,,
wildwest_business_01,POI,POIName,,x,x,Biskitz,,,,,,,,,,,,,
wildwest_business_02,POI,POIName,,x,x,BJ Welding,,,,,,,,,,,,,
wildwest_business_03,POI,POIName,,x,x,Fine Swines,,,,,,,,,,,,,
wildwest_business_04,POI,POIName,,x,x,Bath Haus,,,,,,,,,,,,,
wildwest_business_05,POI,POIName,,x,x,Oil Trader,,,,,,,,,,,,,
wildwest_business_06,POI,POIName,,x,x,Spitz Seeds,,,,,,,,,,,,,
wildwest_business_07,POI,POIName,,x,x,Eric's Stuff,,,,,,,,,,,,,
wildwest_business_08,POI,POIName,,x,x,Undie Takers,,,,,,,,,,,,,
wildwest_business_09,POI,POIName,,x,x,Earl's,,,,,,,,,,,,,
wildwest_business_10,POI,POIName,,x,x,Rifle Martyrs,,,,,,,,,,,,,
wildwest_business_11,POI,POIName,,x,x,Skamson Grocery,,,,,,,,,,,,,
wildwest_business_12,POI,POIName,,x,x,Cole's Books,,,,,,,,,,,,,
wildwest_business_13,POI,POIName,,x,x,Swiggin Serum,,,,,,,,,,,,,
wildwest_business_14,POI,POIName,,x,x,Lathan Hardware,,,,,,,,,,,,,
wildwest_cabin_01,POI,POIName,,x,x,Lumberjack Cabin,,,,,,,,,,,,,
wildwest_cabin_01_arramus,POI,POIName,,x,x,Cozy Cabin,,,,,,,,,,,,,
wildwest_cabin_02,POI,POIName,,x,x,Creaky Cabin,,,,,,,,,,,,,
wildwest_cabin_02_arramus,POI,POIName,,x,x,Greengrocer Cabin,,,,,,,,,,,,,
wildwest_cabin_03_arramus,POI,POIName,,x,x,Baker Cabin,,,,,,,,,,,,,
wildwest_cabin_04,POI,POIName,,x,x,Walton's Cabin,,,,,,,,,,,,,
wildwest_cabin_05,POI,POIName,,x,x,Step Easy Cabin,,,,,,,,,,,,,
wildwest_cabin_07,POI,POIName,,x,x,Ingall's Cabin,,,,,,,,,,,,,
wildwest_cabin_08,POI,POIName,,x,x,Greenbush Cabin,,,,,,,,,,,,,
wildwest_cabin_10,POI,POIName,,x,x,Coffin Cabin,,,,,,,,,,,,,
wildwest_cabin_11,POI,POIName,,x,x,Ale Wife Cabin,,,,,,,,,,,,,
wildwest_cabin_crispy_arramus,POI,POIName,,x,x,Crispy Cabin,,,,,,,,,,,,,
wildwest_capsized_arramus,POI,POIName,,x,x,Merchant Boat,,,,,,,,,,,,,
wildwest_cathedral_01,POI,POIName,,x,x,Cathedral,,,,,,,,,,,,,
wildwest_cathouse_Medusa,POI,POIName,,x,x,Cat House,,,,,,,,,,,,,
wildwest_cave01_TMB,POI,POIName,,x,x,Rattle Can Cave,,,,,,,,,,,,,
wildwest_cave_01_arramus,POI,POIName,,x,x,Burnt Caverns,,,,,,,,,,,,,
wildwest_cave_02_arramus,POI,POIName,,x,x,Crater Caverns,,,,,,,,,,,,,
wildwest_church,POI,POIName,,x,x,Church,,,,,,,,,,,,,
wildwest_coal_factory,POI,POIName,,x,x,Coal Factory,,,,,,,,,,,,,
wildwest_crackcave01_TMB,POI,POIName,,x,x,Cracked Cave,,,,,,,,,,,,,
wildwest_craterfield_01_arramus,POI,POIName,,x,x,Crater Field,,,,,,,,,,,,,
wildwest_craterwork_01_TMB_arramus,POI,POIName,,x,x,Crater Worker's Camp,,,,,,,,,,,,,
wildwest_deadtrees01_TMB,POI,POIName,,x,x,Dead Trees,,,,,,,,,,,,,
wildwest_deadtrees02_TMB,POI,POIName,,x,x,Dead Trees,,,,,,,,,,,,,
wildwest_deco_destroyedbuilding_TMB,POI,POIName,,x,x,Destroyed Building,,,,,,,,,,,,,
wildwest_deco_arch_01_TMBa,POI,POIName,,x,x,Arch,,,,,,,,,,,,,
wildwest_deco_desert_pool_01_TMB,POI,POIName,,x,x,Desert Pool,,,,,,,,,,,,,
wildwest_deco_mist_white01,POI,POIName,,x,x,X,,,,,,,,,,,,,
wildwest_deco_mountainwear_TMB,POI,POIName,,x,x,Mountain Cave,,,,,,,,,,,,,
wildwest_desertsettlers_01,POI,POIName,,x,x,Turmite Town,,,,,,,,,,,,,
wildwest_docks_01,POI,POIName,,x,x,Ferry,,,,,,,,,,,,,
wildwest_docks_02,POI,POIName,,x,x,Dragon Dock,,,,,,,,,,,,,
wildwest_docks_03,POI,POIName,,x,x,Haulwell Freight Co.,,,,,,,,,,,,,
wildwest_docks_04,POI,POIName,,x,x,Jetty,,,,,,,,,,,,,
wildwest_docks_05,POI,POIName,,x,x,Live Bait Dock,,,,,,,,,,,,,
wildwest_docksbroken_01,POI,POIName,,x,x,Broken Docks,,,,,,,,,,,,,
wildwest_dukepatrol_01_arramus,POI,POIName,,x,x,Duke Patrol,,,,,,,,,,,,,
wildwest_dukepower_01_arramus,POI,POIName,,x,x,Duke Power,,,,,,,,,,,,,
wildwest_farm_02,POI,POIName,,x,x,Corn n Blueberry Farm,,,,,,,,,,,,,
wildwest_farm_04,POI,POIName,,x,x,Veterinarean,,,,,,,,,,,,,
wildwest_farm_07,POI,POIName,,x,x,Boar Family Farm,,,,,,,,,,,,,
wildwest_farm_08,POI,POIName,,x,x,Honey Farm,,,,,,,,,,,,,
wildwest_farm_10,POI,POIName,,x,x,Grain Silo Farm,,,,,,,,,,,,,
wildwest_farm_12,POI,POIName,,x,x,Musical Farm,,,,,,,,,,,,,
wildwest_felledforest_TMB,POI,POIName,,x,x,Felled Forest,,,,,,,,,,,,,
wildwest_fort_01_arramus,POI,POIName,,x,x,Merchant Fort,,,,,,,,,,,,,
wildwest_frozen_storage_TMB,POI,POIName,,x,x,Frozen Storage,,,,,,,,,,,,,
wildwest_gallows,POI,POIName,,x,x,Gallows,,,,,,,,,,,,,
wildwest_gfv_01_arramus,POI,POIName,,x,x,Guppy Fried Vulture,,,,,,,,,,,,,
wildwest_gold_01_arramus,POI,POIName,,x,x,Gold Trader,,,,,,,,,,,,,
wildwest_GoodNews_Chaz916Gaming,POI,POIName,,x,x,Good News,,,,,,,,,,,,,
wildwest_green_place,POI,POIName,,x,x,Green Place,,,,,,,,,,,,,
wildwest_gunshop_01_arramus,POI,POIName,,x,x,Schimitty McGee's Guns,,,,,,,,,,,,,
wildwest_homestead_01_TMB,POI,POIName,,x,x,Homesteader,,,,,,,,,,,,,
wildwest_house_burnt_02,POI,POIName,,x,x,The Paciotti Residence,,,,,,,,,,,,,
wildwest_icecaves_TMB,POI,POIName,,x,x,Ice Caves,,,,,,,,,,,,,
wildwest_installation_red_mesa,POI,POIName,,x,x,Wild Red Mesa,,,,,,,,,,,,,
wildwest_jeanssteaks_01_arramus,POI,POIName,,x,x,Jean's Steakhouse,,,,,,,,,,,,,
wildwest_jail,POI,POIName,,x,x,Town Jail,,,,,,,,,,,,,
wildwest_liagsaloon_arramus,POI,POIName,,x,x,Life Is A Game Saloon,,,,,,,,,,,,,
wildwest_lighthouse_01_arramus,POI,POIName,,x,x,White Brick Lighthouse,,,,,,,,,,,,,
wildwest_lighthouse_02_arramus,POI,POIName,,x,x,Orange Brick Lighthouse,,,,,,,,,,,,,
wildwest_lodge_01,POI,POIName,,x,x,Journey's End,,,,,,,,,,,,,
wildwest_logdrive_01,POI,POIName,,x,x,Log Drive,,,,,,,,,,,,,
wildwest_loveshack_hotel_01,POI,POIName,,x,x,Loveshack Hotel,,,,,,,,,,,,,
